A0,A1,A2
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.36,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.23,0.38
0.36,0.24,0.38
0.36,0.25,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.39
0.36,0.24,0.38
0.36,0.24,0.38
0.35,0.25,0.38
0.36,0.25,0.39
0.36,0.24,0.39
0.35,0.24,0.39
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.36,0.24,0.39
0.36,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.25,0.39
0.36,0.24,0.38
0.36,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.39
0.35,0.24,0.39
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.36,0.25,0.39
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.23,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.25,0.38
0.35,0.24,0.39
0.35,0.25,0.38
0.35,0.25,0.39
0.35,0.23,0.38
0.36,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.34,0.25,0.38
0.35,0.25,0.39
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.36,0.25,0.38
0.35,0.25,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.36,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.25,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.25,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.25,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.23,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.25,0.38
0.35,0.25,0.38
0.35,0.25,0.38
0.34,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.33,0.25,0.38
0.36,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.36,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.23,0.38
0.35,0.25,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.39
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.34,0.25,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.25,0.37
0.35,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.34,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.38
0.34,0.24,0.38
0.33,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.35,0.23,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.37
0.35,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.37
0.34,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.37
0.35,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.38
0.33,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.38
0.34,0.24,0.37
0.34,0.24,0.37
0.34,0.23,0.37
0.34,0.24,0.38
0.34,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.37
0.34,0.24,0.38
0.34,0.24,0.37
0.34,0.24,0.37
0.34,0.24,0.38
0.34,0.24,0.37
0.35,0.24,0.38
0.33,0.24,0.38
0.34,0.24,0.37
0.35,0.24,0.38
0.34,0.24,0.38
0.35,0.24,0.37
0.33,0.24,0.37
0.34,0.23,0.37
0.34,0.24,0.37
0.34,0.24,0.37
0.34,0.23,0.37
0.34,0.24,0.37
0.35,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.38
0.34,0.24,0.37
0.34,0.24,0.38
0.34,0.24,0.37
0.34,0.24,0.37
0.34,0.24,0.38
0.35,0.24,0.37
0.34,0.24,0.37
