A0,A1,A2
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.07,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.31,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.08
0.32,0.06,0.07
