A0,A1,A2
0.327468,0.092864,0.161290
0.327468,0.097752,0.190616
0.327468,0.092864,0.185728
0.327468,0.092864,0.180841
0.327468,0.092864,0.161290
0.327468,0.092864,0.180841
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.180841
0.327468,0.092864,0.185728
0.327468,0.092864,0.161290
0.327468,0.092864,0.185728
0.327468,0.092864,0.175953
0.327468,0.092864,0.185728
0.327468,0.092864,0.190616
0.327468,0.092864,0.185728
0.327468,0.097752,0.190616
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.161290
0.327468,0.092864,0.185728
0.327468,0.092864,0.190616
0.327468,0.092864,0.190616
0.327468,0.092864,0.190616
0.327468,0.092864,0.185728
0.322581,0.092864,0.190616
0.327468,0.097752,0.190616
0.327468,0.092864,0.161290
0.327468,0.092864,0.171065
0.327468,0.092864,0.190616
0.327468,0.092864,0.190616
0.327468,0.092864,0.190616
0.327468,0.092864,0.185728
0.322581,0.097752,0.190616
0.327468,0.092864,0.166178
0.327468,0.092864,0.190616
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.092864,0.190616
0.327468,0.092864,0.185728
0.327468,0.092864,0.161290
0.327468,0.092864,0.161290
0.327468,0.092864,0.185728
0.327468,0.097752,0.185728
0.327468,0.097752,0.185728
0.327468,0.092864,0.185728
0.327468,0.097752,0.190616
0.327468,0.092864,0.185728
0.327468,0.097752,0.185728
0.327468,0.092864,0.185728
0.327468,0.097752,0.185728
0.327468,0.097752,0.185728
0.327468,0.092864,0.166178
0.327468,0.092864,0.185728
0.327468,0.092864,0.185728
0.327468,0.097752,0.190616
0.327468,0.097752,0.190616
0.322581,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.200391
0.327468,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.161290
0.327468,0.092864,0.190616
0.327468,0.092864,0.200391
0.327468,0.092864,0.195503
0.327468,0.092864,0.200391
0.327468,0.097752,0.200391
0.327468,0.097752,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.097752,0.195503
0.327468,0.097752,0.195503
0.327468,0.097752,0.200391
0.327468,0.097752,0.190616
0.327468,0.097752,0.195503
0.327468,0.092864,0.190616
0.327468,0.097752,0.195503
0.327468,0.097752,0.195503
0.322581,0.092864,0.195503
0.327468,0.097752,0.195503
0.327468,0.097752,0.195503
0.332356,0.092864,0.195503
0.327468,0.092864,0.195503
0.327468,0.092864,0.195503
0.332356,0.092864,0.195503
0.327468,0.097752,0.205279
0.327468,0.092864,0.210166
0.327468,0.097752,0.210166
0.327468,0.097752,0.215054
0.327468,0.092864,0.200391
0.327468,0.097752,0.205279
0.327468,0.092864,0.210166
0.327468,0.092864,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.092864,0.210166
0.327468,0.092864,0.215054
0.327468,0.097752,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.200391
0.327468,0.092864,0.205279
0.327468,0.092864,0.205279
0.327468,0.097752,0.205279
0.327468,0.092864,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.210166
0.327468,0.097752,0.210166
0.327468,0.097752,0.205279
0.327468,0.092864,0.205279
0.327468,0.092864,0.205279
0.327468,0.092864,0.205279
0.327468,0.092864,0.200391
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.092864,0.205279
0.327468,0.092864,0.205279
0.327468,0.092864,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.200391
0.327468,0.092864,0.205279
0.332356,0.097752,0.200391
0.327468,0.097752,0.205279
0.327468,0.092864,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.205279
0.327468,0.092864,0.210166
0.327468,0.097752,0.210166
0.327468,0.097752,0.205279
0.327468,0.092864,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.205279
0.327468,0.097752,0.205279
0.327468,0.092864,0.210166
0.327468,0.097752,0.200391
0.327468,0.097752,0.205279
0.327468,0.097752,0.210166
0.327468,0.097752,0.210166
0.327468,0.097752,0.210166
0.327468,0.092864,0.210166
0.327468,0.097752,0.210166
