=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.16 09:15:09 =~=~=~=~=~=~=~=~=~=~=~=
.06A0  A1  A2
0.29 0.05 0.05
 
0.29 0.05 0.03
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.26 0.08 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.03 0.02
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.05
 
0.26 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.05 0.05
 
0.27 0.05 0.06
 
0.28 0.04 0.06
 
0.26 0.06 0.06
 
0.29 0.04 0.06
 
0.29 0.05 0.06
 
0.28 0.06 0.07
 
0.30 0.05 0.05
 
0.29 0.06 0.04
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.04 0.05
 
0.29 0.04 0.04
 
0.30 0.05 0.06
 
0.29 0.05 0.05
 
0.28 0.05 0.06
 
0.29 0.04 0.06
 
0.28 0.05 0.06
 
0.26 0.05 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.27 0.06 0.06
 
0.29 0.05 0.06
 
0.29 0.06 0.07
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.06 0.06
 
0.30 0.05 0.06
 
0.31 0.05 0.04
 
0.31 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.07 0.04
 
0.28 0.03 0.04
 
0.28 0.04 0.05
 
0.30 0.04 0.05
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.30 0.06 0.06
 
0.30 0.06 0.06
 
0.29 0.04 0.05
 
0.29 0.04 0.05
 
0.29 0.05 0.06
 
0.29 0.02 0.02
 
0.27 0.04 0.05
 
0.28 0.05 0.07
 
0.27 0.05 0.06
 
0.29 0.04 0.06
 
0.29 0.04 0.07
 
0.28 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.04 0.06
 
0.25 0.05 0.06
 
0.29 0.05 0.05
 
0.27 0.05 0.07
 
0.28 0.05 0.06
 
0.27 0.07 0.08
 
0.28 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.29 0.06 0.06
 
0.29 0.05 0.08
 
0.29 0.05 0.05
 
0.29 0.05 0.01
 
0.28 0.06 0.06
 
0.29 0.03 0.05
 
0.28 0.06 0.06
 
0.30 0.07 0.08
 
0.29 0.04 0.06
 
0.29 0.04 0.07
 
0.29 0.06 0.07
 
0.29 0.06 0.07
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.29 0.05 0.05
 
0.28 0.05 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.04
 
0.32 0.04 0.06
 
0.29 0.05 0.06
 
0.29 0.08 0.10
 
0.30 0.06 0.06
 
0.29 0.05 0.06
 
0.32 0.07 0.06
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.03 0.06
 
0.27 0.05 0.05
 
0.28 0.07 0.08
 
0.28 0.05 0.05
 
0.29 0.05 0.05
 
0.29 0.06 0.08
 
0.30 0.06 0.06
 
0.30 0.05 0.03
 
0.31 0.05 0.05
 
0.28 0.04 0.06
 
0.29 0.04 0.06
 
0.28 0.04 0.04
 
0.29 0.05 0.05
 
0.31 0.04 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.04 0.05
 
0.30 0.05 0.06
 
0.29 0.03 0.04
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.04 0.05
 
0.26 0.05 0.05
 
0.28 0.04 0.05
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.30 0.05 0.05
 
0.29 0.04 0.06
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.04 0.05
 
0.28 0.04 0.05
 
0.28 0.03 0.05
 
0.29 0.03 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.29 0.06 0.07
 
0.29 0.05 0.10
 
0.30 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.09
 
0.30 0.06 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.06 0.01
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.04
 
0.29 0.04 0.06
 
0.28 0.05 0.06
 
0.30 0.05 0.06
 
0.29 0.04 0.06
 
0.29 0.05 0.07
 
0.30 0.06 0.06
 
0.31 0.05 0.06
 
0.31 0.06 0.06
 
0.29 0.05 0.06
 
0.26 0.05 0.06
 
0.29 0.04 0.04
 
0.28 0.06 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.06 0.05
 
0.30 0.04 0.04
 
0.29 0.06 0.04
 
0.30 0.05 0.05
 
0.29 0.05 0.06
 
0.28 0.04 0.04
 
0.29 0.04 0.05
 
0.28 0.05 0.06
 
0.30 0.03 0.06
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.30 0.07 0.06
 
0.30 0.04 0.06
 
0.29 0.01 0.04
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.03 0.06
 
0.27 0.06 0.06
 
0.28 0.05 0.09
 
0.28 0.05 0.05
 
0.28 0.05 0.06
 
0.29 0.06 0.07
 
0.29 0.06 0.06
 
0.29 0.05 0.06
 
0.31 0.08 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.28 0.04 0.05
 
0.28 0.08 0.09
 
0.30 0.05 0.06
 
0.25 0.05 0.06
 
0.29 0.07 0.06
 
0.30 0.04 0.05
 
0.30 0.05 0.01
 
0.29 0.05 0.05
 
0.29 0.05 0.05
 
0.28 0.05 0.06
 
0.29 0.04 0.04
 
0.30 0.05 0.05
 
0.30 0.04 0.06
 
0.29 0.05 0.06
 
0.29 0.04 0.09
 
0.30 0.06 0.06
 
0.30 0.05 0.06
 
0.30 0.05 0.04
 
0.29 0.04 0.06
 
0.29 0.04 0.06
 
0.28 0.04 0.04
 
0.29 0.05 0.04
 
0.30 0.04 0.04
 
0.30 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.06 0.07
 
0.29 0.05 0.07
 
0.28 0.05 0.06
 
0.31 0.01 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.30 0.05 0.06
 
0.28 0.04 0.06
 
0.30 0.06 0.08
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.31 0.06 0.04
 
0.30 0.07 0.05
 
0.30 0.05 0.04
 
0.29 0.04 0.06
 
0.29 0.05 0.06
 
0.29 0.04 0.05
 
0.28 0.04 0.05
 
0.29 0.05 0.06
 
0.27 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.30 0.04 0.06
 
0.30 0.06 0.05
 
0.28 0.04 0.05
 
0.28 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.04 0.04
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.29 0.05 0.07
 
0.28 0.05 0.06
 
0.29 0.06 0.06
 
0.30 0.06 0.06
 
0.29 0.05 0.06
 
0.30 0.05 0.06
 
0.28 0.05 0.05
 
0.28 0.05 0.05
 
0.32 0.04 0.05
 
0.29 0.05 0.05
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.06 0.06
 
0.31 0.04 0.06
 
0.29 0.04 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.05
 
0.28 0.03 0.05
 
0.28 0.05 0.05
 
0.28 0.05 0.05
 
0.29 0.05 0.05
 
0.29 0.05 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.27 0.05 0.05
 
0.28 0.04 0.06
 
0.29 0.05 0.06
 
0.27 0.05 0.05
 
0.27 0.05 0.06
 
0.28 0.06 0.06
 
0.29 0.05 0.07
 
0.29 0.05 0.06
 
0.29 0.07 0.07
 
0.29 0.06 0.06
 
0.29 0.06 0.04
 
0.30 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.02 0.06
 
0.28 0.05 0.05
 
0.29 0.03 0.05
 
0.28 0.05 0.06
 
0.29 0.04 0.06
 
0.30 0.06 0.06
 
0.30 0.05 0.06
 
0.29 0.03 0.03
 
0.29 0.05 0.05
 
0.28 0.05 0.05
 
0.29 0.04 0.04
 
0.30 0.04 0.05
 
0.29 0.04 0.07
 
0.27 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.28 0.05 0.07
 
0.29 0.05 0.06
 
0.32 0.04 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.05
 
0.29 0.05 0.05
 
0.28 0.04 0.06
 
0.29 0.00 0.04
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.05 0.07
 
0.29 0.06 0.06
 
0.29 0.05 0.02
 
0.29 0.04 0.05
 
0.28 0.03 0.06
 
0.29 0.03 0.04
 
0.28 0.04 0.06
 
0.28 0.05 0.05
 
0.25 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.03 0.06
 
0.27 0.05 0.06
 
0.26 0.07 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.04 0.06
 
0.29 0.05 0.06
 
0.29 0.06 0.03
 
0.28 0.05 0.06
 
0.29 0.05 0.05
 
0.28 0.06 0.06
 
0.30 0.06 0.07
 
0.29 0.04 0.04
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.04 0.04
 
0.28 0.04 0.02
 
0.28 0.05 0.08
 
0.27 0.07 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.06 0.08
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.27 0.03 0.04
 
0.29 0.04 0.05
 
0.29 0.06 0.02
 
0.31 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.05
 
0.30 0.05 0.06
 
0.31 0.05 0.05
 
0.26 0.04 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.03 0.05
 
0.28 0.01 0.05
 
0.29 0.05 0.07
 
0.27 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.07 0.07
 
0.28 0.04 0.06
 
0.28 0.05 0.06
 
0.29 0.06 0.05
 
0.28 0.04 0.06
 
0.29 0.06 0.06
 
0.30 0.04 0.06
 
0.28 0.06 0.05
 
0.28 0.06 0.06
 
0.29 0.05 0.05
 
0.30 0.06 0.05
 
0.28 0.04 0.06
 
0.28 0.05 0.06
 
0.29 0.01 0.06
 
0.27 0.04 0.05
 
0.28 0.04 0.05
 
0.29 0.05 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.06 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.30 0.05 0.05
 
0.28 0.05 0.06
 
0.28 0.08 0.06
 
0.28 0.04 0.06
 
0.28 0.05 0.06
 
0.31 0.07 0.06
 
0.29 0.05 0.05
 
0.29 0.04 0.06
 
0.29 0.06 0.07
 
0.28 0.05 0.05
 
0.29 0.07 0.06
 
0.29 0.06 0.01
 
0.28 0.05 0.06
 
0.28 0.04 0.07
 
0.28 0.06 0.05
 
0.28 0.04 0.05
 
0.31 0.04 0.05
 
0.29 0.05 0.06
 
0.29 0.06 0.07
 
0.30 0.06 0.08
 
0.29 0.05 0.06
 
0.31 0.03 0.06
 
0.28 0.05 0.06
 
0.29 0.06 0.04
 
0.29 0.03 0.05
 
0.29 0.04 0.05
 
0.28 0.05 0.08
 
0.29 0.04 0.06
 
0.28 0.05 0.06
 
0.29 0.06 0.07
 
0.29 0.05 0.07
 
0.30 0.07 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.06 0.06
 
0.29 0.05 0.04
 
0.32 0.05 0.06
 
0.28 0.05 0.06
 
0.28 0.05 0.06
 
0.30 0.05 0.05
 
0.29 0.05 0.06
 
0.24 0.02 0.05
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.27 0.04 0.05
 
0.28 0.05 0.07
 
0.29 0.09 0.10
 
0.28 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.05 0.07
 
0.29 0.04 0.05
 
0.29 0.05 0.10
 
0.26 0.05 0.06
 
0.29 0.02 0.06
 
0.28 0.06 0.07
 
0.27 0.04 0.06
 
0.28 0.05 0.06
 
0.27 0.08 0.06
 
0.30 0.05 0.06
 
0.29 0.05 0.07
 
0.29 0.06 0.06
 
0.29 0.05 0.06
 
0.29 0.09 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.30 0.04 0.05
 
0.27 0.04 0.05
 
0.29 0.05 0.09
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.28 0.07 0.07
 
0.29 0.06 0.07
 
0.29 0.04 0.05
 
0.32 0.05 0.06
 
0.28 0.05 0.02
 
0.29 0.05 0.06
 
0.30 0.04 0.06
 
0.29 0.04 0.05
 
0.29 0.08 0.06
 
0.29 0.05 0.05
 
0.29 0.05 0.05
 
0.29 0.06 0.07
 
0.29 0.05 0.06
 
0.29 0.07 0.07
 
0.29 0.05 0.06
 
0.30 0.05 0.05
 
0.29 0.04 0.07
 
0.27 0.02 0.06
 
0.29 0.05 0.07
 
0.32 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.30 0.06 0.07
 
0.29 0.06 0.06
 
0.32 0.04 0.06
 
0.28 0.05 0.06
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.06
 
0.29 0.02 0.04
 
0.29 0.03 0.06
 
0.29 0.04 0.06
 
0.28 0.06 0.07
 
0.29 0.05 0.06
 
0.29 0.05 0.09
 
0.29 0.05 0.05
 
0.29 0.05 0.06
 
0.29 0.05 0.07
 
0.27 0.04 0.06
 
0.28 0.06 0.06
 
0.31 0.04 0.05
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.31 0.06 0.07
 
0.29 0.06 0.07
 
0.29 0.02 0.05
 
0.29 0.05 0.05
 
0.28 0.04 0.05
 
0.31 0.03 0.03
 
0.29 0.04 0.05
 
0.28 0.04 0.02
 
0.29 0.05 0.06
 
0.28 0.05 0.06
 
0.29 0.04 0.06
 
0.31 0.04 0.07
 
0.29 0.05 0.05
 
0.25 0.05 0.06
 
0.29 0.06 0.06
 
0.28 0.05 0.04
 
0.29 0.04 0.05
 
