=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.23 10:29:19 =~=~=~=~=~=~=~=~=~=~=~=
 A0  A1  A2
0.31 0.36 0.15
 
0.31 0.36 0.15
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.15
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.15
 
0.31 0.36 0.16
 
0.31 0.36 0.15
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.17
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.36 0.16
 
0.31 0.35 0.16
 
0.31 0.36 0.16
 
0.31 0.35 0.16
 
0.31 0.35 0.16
 
0.31 0.36 0.16
 
0.31 0.35 0.16
 
0.31 0.36 0.17
 
0.31 0.36 0.18
 
0.31 0.36 0.17
 
0.31 0.36 0.18
 
0.31 0.35 0.18
 
0.31 0.36 0.18
 
0.31 0.36 0.18
 
0.31 0.35 0.17
 
0.31 0.36 0.18
 
0.31 0.36 0.18
 
0.31 0.35 0.19
 
0.31 0.36 0.19
 
0.31 0.36 0.19
 
0.31 0.36 0.19
 
0.31 0.36 0.19
 
0.31 0.35 0.18
 
0.31 0.36 0.18
 
0.31 0.35 0.18
 
0.31 0.35 0.17
 
0.31 0.36 0.17
 
0.31 0.35 0.17
 
0.31 0.35 0.17
 
0.31 0.36 0.17
 
0.31 0.35 0.17
 
0.31 0.36 0.17
 
0.31 0.36 0.17
 
0.31 0.36 0.17
 
0.31 0.36 0.16
 
0.31 0.35 0.16
 
0.31 0.35 0.16
 
0.31 0.35 0.16
 
0.31 0.35 0.16
 
