=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.28 13:55:57 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.88 0.38 0.42
 
0.89 0.41 0.41
 
0.88 0.40 0.42
 
0.89 0.40 0.41
 
0.88 0.37 0.41
 
0.88 0.41 0.42
 
0.89 0.42 0.42
 
0.89 0.40 0.41
 
0.88 0.41 0.42
 
0.88 0.40 0.41
 
0.88 0.40 0.41
 
0.88 0.40 0.42
 
0.90 0.40 0.41
 
0.88 0.40 0.42
 
0.89 0.40 0.42
 
0.90 0.40 0.41
 
0.88 0.40 0.41
 
0.88 0.41 0.42
 
0.90 0.40 0.41
 
0.88 0.40 0.41
 
0.88 0.40 0.41
 
0.93 0.38 0.42
 
0.90 0.40 0.41
 
0.89 0.40 0.41
 
0.92 0.41 0.42
 
0.89 0.40 0.41
 
0.88 0.40 0.41
 
0.88 0.41 0.42
 
0.90 0.41 0.42
 
0.88 0.40 0.43
 
0.92 0.38 0.41
 
0.89 0.37 0.41
 
0.88 0.40 0.42
 
0.90 0.41 0.42
 
0.89 0.40 0.41
 
0.88 0.39 0.41
 
0.88 0.40 0.41
 
0.88 0.42 0.42
 
0.89 0.40 0.41
 
0.92 0.39 0.42
 
0.91 0.38 0.42
 
0.90 0.40 0.42
 
0.90 0.40 0.42
 
0.88 0.42 0.42
 
0.90 0.40 0.41
 
0.88 0.40 0.42
 
0.90 0.41 0.42
 
0.88 0.40 0.41
 
0.88 0.40 0.41
 
0.88 0.40 0.41
 
0.92 0.39 0.42
 
0.90 0.40 0.42
 
0.88 0.40 0.41
 
0.88 0.42 0.42
 
0.89 0.40 0.43
 
0.91 0.38 0.42
 
0.90 0.37 0.42
 
0.88 0.39 0.41
 
0.88 0.39 0.41
 
0.88 0.41 0.42
 
0.91 0.41 0.42
 
0.89 0.40 0.41
 
0.88 0.39 0.41
 
0.91 0.41 0.42
 
0.89 0.40 0.41
 
0.88 0.37 0.41
 
0.91 0.41 0.42
 
0.90 0.40 0.42
 
0.94 0.42 0.43
 
0.90 0.41 0.42
 
0.89 0.40 0.41
 
