=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.27 09:17:35 =~=~=~=~=~=~=~=~=~=~=~=

A0  A1  A2
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 3.47
 
2.86 0.63 0.14
 
0.08 0.00 0.00
 
0.00 0.00 0.04
 
0.00 0.00 0.64
 
0.36 0.00 0.00
 
0.87 2.08 3.86
 
4.73 4.88 5.00
 
5.00 5.00 5.00
 
5.00 4.75 4.54
 
4.71 5.00 5.00
 
5.00 5.00 4.94
 
1.40 0.37 0.31
 
0.22 0.00 0.00
 
0.00 0.24 0.23
 
0.90 0.14 0.00
 
0.00 0.00 0.00
 
1.51 3.49 4.54
 
4.94 4.94 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
4.35 4.66 2.34
 
0.70 0.00 0.00
 
0.22 0.00 0.00
 
0.00 0.00 0.09
 
0.54 0.00 0.00
 
0.00 0.00 0.81
 
2.83 4.20 4.98
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
3.69 3.83 0.96
 
0.15 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.25 0.35
 
0.01 0.13 0.00
 
0.00 0.53 1.97
 
4.32 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 4.97
 
4.96 4.88 4.45
 
2.64 0.81 0.33
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.14 0.00 0.00
 
0.00 0.00 2.55
 
4.87 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
2.49 0.37 0.00
 
0.02 0.00 0.00
 
0.00 0.00 0.77
 
0.00 0.00 0.00
 
0.47 0.00 0.00
 
0.18 2.26 4.97
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.65 5.00
 
4.69 5.00 5.00
 
5.00 3.67 4.78
 
2.60 0.17 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.44
 
0.56 0.00 0.32
 
0.21 0.00 0.40
 
2.36 3.41 4.89
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.77 5.00
 
5.00 5.00 5.00
 
3.87 5.00 4.46
 
0.48 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.75 0.46
 
0.56 0.00 0.22
 
0.36 0.00 1.17
 
2.85 4.13 4.83
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
4.82 5.00 5.00
 
5.00 5.00 5.00
 
4.05 5.00 1.40
 
0.27 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.57 0.24 0.00
 
0.00 0.00 0.00
 
3.06 4.49 5.00
 
5.00 5.00 5.00
 
5.00 4.84 5.00
 
4.88 5.00 5.00
 
5.00 5.00 5.00
 
3.70 4.85 0.73
 
0.16 0.00 0.00
 
0.00 0.00 0.00
 
0.46 0.00 0.01
 
0.67 0.40 0.00
 
0.09 1.55 2.45
 
4.12 4.68 5.00
 
5.00 5.00 5.00
 
5.00 4.71 5.00
 
4.99 5.00 5.00
 
5.00 5.00 5.00
 
3.31 1.11 0.61
 
0.29 0.00 0.00
 
0.00 0.00 0.00
 
0.56 0.00 0.38
 
0.02 0.06 0.00
 
0.42 2.02 2.57
 
4.20 4.38 4.79
 
5.00 5.00 5.00
 
5.00 4.84 5.00
 
4.60 5.00 5.00
 
5.00 3.50 5.00
 
2.23 1.12 0.65
 
0.60 0.00 0.00
 
0.00 0.00 0.00
 
0.32 0.24 0.00
 
0.05 0.00 0.00
 
1.68 0.72 3.71
 
4.60 4.36 4.60
 
5.00 5.00 5.00
 
5.00 5.00 4.97
 
5.00 5.00 5.00
 
5.00 3.07 3.62
 
1.53 1.11 0.64
 
0.34 0.06 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.36
 
2.14 3.25 3.81
 
4.31 4.75 5.00
 
4.90 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 3.88 1.63
 
0.90 0.56 0.88
 
0.27 0.00 0.00
 
0.00 0.20 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.86
 
0.85 3.43 4.37
 
4.63 4.51 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
3.19 3.54 1.24
 
0.57 0.47 0.39
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.49 0.00
 
0.00 0.00 0.46
 
3.70 4.58 4.78
 
5.00 4.73 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 3.99
 
3.58 1.44 0.87
 
0.54 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.62 1.82 1.99
 
4.42 4.16 4.92
 
5.00 5.00 5.00
 
5.00 4.45 5.00
 
5.00 4.96 5.00
 
5.00 5.00 5.00
 
4.15 0.93 0.18
 
0.35 0.01 0.00
 
0.00 0.00 0.44
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
1.70 0.87 3.68
 
4.92 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 4.82
 
4.84 5.00 5.00
 
5.00 4.64 3.16
 
1.14 0.18 0.00
 
0.22 0.00 0.00
 
0.00 0.00 0.00
 
0.24 0.00 0.28
 
0.00 0.00 0.10
 
1.62 1.77 4.34
 
4.81 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.70 5.00
