=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.11 09:21:44 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.30 0.29 0.74
 
0.30 0.30 0.73
 
0.30 0.29 0.73
 
0.30 0.30 0.74
 
0.30 0.29 0.73
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.73
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.73
 
0.30 0.30 0.73
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.73
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.30 0.74
 
0.30 0.30 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.30 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.75
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.75
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.30 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.75
 
0.30 0.29 0.75
 
0.29 0.29 0.74
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.74
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.29 0.74
 
0.29 0.29 0.75
 
0.29 0.29 0.75
 
0.30 0.29 0.75
 
0.29 0.29 0.75
 
0.29 0.28 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.75
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.75
 
0.30 0.29 0.75
 
0.30 0.29 0.75
 
0.29 0.29 0.75
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.75
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.29 0.29 0.74
 
0.30 0.28 0.73
 
0.29 0.29 0.73
 
0.29 0.28 0.73
 
0.29 0.28 0.73
 
0.29 0.28 0.73
 
0.29 0.29 0.73
 
0.28 0.29 0.73
 
0.27 0.29 0.73
 
0.27 0.29 0.73
 
0.27 0.29 0.73
 
0.27 0.29 0.73
 
0.27 0.29 0.73
 
0.27 0.28 0.73
 
0.27 0.28 0.74
 
0.27 0.28 0.74
 
0.26 0.28 0.74
 
0.25 0.28 0.74
 
0.25 0.28 0.74
 
0.25 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.26 0.28 0.74
 
0.27 0.28 0.74
 
0.27 0.28 0.74
 
0.27 0.28 0.73
 
0.29 0.28 0.71
 
0.27 0.28 0.71
 
0.28 0.29 0.71
 
0.27 0.29 0.72
 
0.37 0.29 0.71
 
0.41 0.29 0.72
 
0.48 0.29 0.72
 
0.25 0.30 0.71
 
0.26 0.31 0.72
 
0.26 0.31 0.71
 
0.26 0.31 0.72
 
0.26 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.73
 
0.28 0.31 0.73
 
0.28 0.31 0.73
 
0.28 0.31 0.73
 
0.28 0.31 0.73
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.72
 
0.28 0.31 0.74
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.74
 
0.28 0.31 0.74
 
0.28 0.31 0.74
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.74
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.72
 
0.28 0.31 0.73
 
0.28 0.31 0.75
 
0.28 0.31 0.75
 
0.28 0.30 0.75
 
0.28 0.31 0.75
 
0.28 0.31 0.74
 
0.28 0.30 0.75
 
0.28 0.31 0.75
 
0.28 0.30 0.74
 
0.28 0.31 0.74
 
0.28 0.30 0.74
 
0.28 0.31 0.74
 
0.28 0.31 0.74
 
0.28 0.30 0.74
 
0.28 0.31 0.74
 
0.28 0.31 0.74
 
0.28 0.38 0.75
 
0.31 0.43 0.74
 
0.31 0.28 0.74
 
0.31 0.24 0.75
 
0.52 0.30 0.75
 
0.50 0.31 0.75
 
0.56 0.34 0.88
 
0.51 0.53 0.81
 
0.50 0.59 0.80
 
0.44 0.72 0.79
 
0.30 0.66 0.78
 
0.27 0.66 0.77
 
0.28 0.56 0.78
 
0.28 0.68 0.78
 
0.30 0.69 0.78
 
0.50 0.59 0.78
 
0.56 0.46 0.78
 
0.54 0.40 0.77
 
0.51 0.42 0.76
 
0.47 0.50 0.76
 
0.44 0.64 0.76
 
0.39 0.45 0.76
 
0.36 0.40 0.76
 
0.37 0.38 0.75
 
0.37 0.45 0.75
 
0.34 0.41 0.75
 
0.33 0.41 0.75
 
0.34 0.43 0.75
 
0.34 0.42 0.75
 
0.33 0.42 0.75
 
0.32 0.37 0.75
 
0.31 0.44 0.75
 
0.28 0.36 0.75
 
0.28 0.35 0.75
 
0.29 0.39 0.75
 
0.29 0.43 0.75
 
0.29 0.43 0.75
 
0.30 0.47 0.75
 
0.29 0.43 0.75
 
0.28 0.34 0.75
 
0.28 0.36 0.75
 
0.27 0.34 0.74
 
0.28 0.34 0.75
 
0.27 0.33 0.75
 
0.27 0.35 0.75
 
0.27 0.37 0.74
 
0.27 0.35 0.75
 
0.27 0.31 0.75
 
0.27 0.31 0.75
 
0.27 0.34 0.75
 
0.27 0.42 0.75
 
0.27 0.35 0.75
 
0.27 0.34 0.75
 
0.27 0.33 0.75
 
0.27 0.34 0.75
 
0.27 0.33 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.27 0.32 0.75
 
0.26 0.31 0.75
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.75
 
0.27 0.31 0.75
 
0.27 0.31 0.75
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.32 0.76
 
0.27 0.32 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.26 0.31 0.76
 
0.27 0.31 0.76
 
0.26 0.31 0.75
 
0.27 0.31 0.76
 
0.27 0.31 0.75
 
0.27 0.31 0.75
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.75
 
0.27 0.32 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.27 0.31 0.76
 
0.28 0.43 0.76
 
0.37 0.39 0.76
 
0.37 0.38 0.76
 
0.37 0.37 0.76
 
0.36 0.36 0.76
 
0.38 0.40 0.76
 
0.59 0.38 0.76
 
0.49 0.38 0.76
 
0.49 0.37 0.75
 
0.49 0.38 0.76
 
0.62 0.38 0.75
 
0.59 0.34 0.75
 
0.59 0.36 0.75
 
0.57 0.35 0.75
 
0.56 0.35 0.75
 
0.56 0.33 0.75
 
0.60 0.27 0.76
 
0.61 0.34 0.75
 
0.55 0.32 0.75
 
0.56 0.34 0.75
 
0.56 0.30 0.75
 
0.56 0.30 0.75
 
0.56 0.48 0.76
 
0.56 0.42 0.75
 
0.56 0.42 0.75
 
0.57 0.42 0.75
 
0.57 0.43 0.75
 
0.57 0.43 0.75
 
0.57 0.41 0.75
 
0.57 0.39 0.75
 
0.57 0.39 0.75
 
0.57 0.39 0.75
 
0.57 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.38 0.75
 
0.58 0.38 0.75
 
0.59 0.38 0.76
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.40 0.76
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.39 0.75
 
0.58 0.40 0.75
 
0.57 0.40 0.75
 
0.57 0.41 0.75
 
0.57 0.42 0.75
 
0.57 0.42 0.76
 
0.57 0.41 0.75
 
0.57 0.41 0.75
 
0.57 0.40 0.75
 
0.57 0.40 0.75
 
0.57 0.40 0.75
 
0.56 0.42 0.75
 
0.56 0.43 0.75
 
0.56 0.43 0.75
 
0.56 0.43 0.75
 
0.56 0.42 0.75
 
0.56 0.42 0.75
 
0.56 0.42 0.75
 
0.55 0.42 0.75
 
0.55 0.42 0.75
 
0.55 0.41 0.75
 
0.54 0.31 0.75
 
0.55 0.32 0.75
 
0.55 0.32 0.75
 
0.55 0.31 0.75
 
0.54 0.32 0.75
 
0.55 0.32 0.75
 
0.55 0.33 0.75
 
0.55 0.33 0.75
 
0.55 0.33 0.74
 
0.55 0.33 0.75
 
0.55 0.33 0.75
 
0.55 0.33 0.75
 
0.55 0.33 0.75
 
0.55 0.35 0.75
 
0.55 0.35 0.75
 
0.55 0.36 0.75
 
0.55 0.36 0.75
 
0.55 0.36 0.75
 
0.55 0.36 0.75
 
0.55 0.36 0.74
 
0.55 0.36 0.75
 
0.55 0.36 0.75
 
0.55 0.36 0.74
 
0.55 0.36 0.75
 
0.56 0.38 0.74
 
0.56 0.42 0.75
 
0.57 0.47 0.75
 
0.57 0.39 0.75
 
0.57 0.32 0.74
 
0.56 0.32 0.74
 
0.55 0.32 0.75
 
0.55 0.34 0.98
 
0.40 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 1.10 3.23
 
3.67 3.64 4.36
 
4.34 4.43 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
4.96 4.45 5.00
 
1.55 1.09 1.31
 
0.54 0.19 0.39
 
0.00 0.00 0.00
 
0.28 0.00 0.00
 
0.00 0.00 0.39
 
1.44 3.34 3.92
 
3.70 3.99 4.68
 
4.34 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.91 5.00
 
3.88 4.45 1.89
 
0.77 0.86 0.62
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.01
 
0.00 0.00 1.53
 
3.32 3.93 5.00
 
4.71 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 4.58
 
3.12 1.39 0.94
 
0.35 0.11 0.15
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.18 0.13
 
1.24 1.28 4.22
 
4.28 4.51 5.00
 
4.93 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.38 3.80
 
0.73 0.15 0.43
 
0.00 0.00 0.10
 
0.00 0.00 1.19
 
0.83 0.05 0.48
 
0.00 0.00 1.66
 
1.99 3.86 5.00
 
4.92 4.98 5.00
 
4.95 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 3.52 1.16
 
0.12 0.00 0.22
 
0.00 0.00 0.04
 
0.00 0.94 1.02
 
0.48 0.00 0.30
 
0.00 0.31 2.53
 
3.50 4.65 5.00
 
4.83 4.98 5.00
 
5.00 5.00 5.00
 
4.21 5.00 5.00
 
5.00 4.78 3.71
 
2.35 0.87 0.91
 
0.00 0.00 0.21
 
0.00 0.00 0.00
 
1.04 1.07 0.00
 
0.04 0.00 0.50
 
0.13 2.23 4.01
 
4.35 4.84 5.00
 
4.89 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 4.66
 
1.30 0.44 0.17
 
0.00 0.00 0.22
 
0.00 0.76 1.02
 
0.95 0.10 0.73
 
0.23 0.36 0.72
 
0.23 0.36 0.72
 
0.23 0.35 0.72
 
0.23 0.35 0.73
 
0.23 0.40 0.73
 
0.23 0.43 0.73
 
0.23 0.43 0.74
 
0.20 0.36 0.74
 
0.19 0.34 0.74
 
0.19 0.34 0.74
 
0.19 0.35 0.74
 
0.19 0.35 0.74
 
0.19 0.37 0.74
 
0.19 0.37 0.74
 
0.20 0.41 0.74
 
0.20 0.40 0.74
 
0.20 0.41 0.74
 
0.19 0.38 0.74
 
0.19 0.45 0.74
 
0.19 0.41 0.74
 
0.19 0.48 0.74
 
0.22 0.39 0.74
 
0.21 0.35 0.74
 
0.20 0.36 0.74
 
0.20 0.36 0.74
 
0.21 0.35 0.74
 
0.22 0.36 0.74
 
0.21 0.43 0.74
 
0.19 0.45 0.73
 
0.18 0.37 0.73
 
0.19 0.35 0.72
 
0.21 0.35 0.72
 
0.22 0.35 0.73
 
0.23 0.35 0.73
 
0.22 0.35 0.73
 
0.22 0.35 0.72
 
0.22 0.35 0.72
 
0.22 0.35 0.72
 
0.22 0.34 0.73
 
0.22 0.34 0.73
 
0.22 0.34 0.72
 
0.22 0.34 0.72
 
0.23 0.34 0.72
 
0.23 0.34 0.70
 
0.29 0.37 0.71
 
0.27 0.41 0.71
 
0.28 0.43 0.61
 
0.30 0.39 0.52
 
0.30 0.45 0.62
 
0.31 0.46 0.66
 
0.27 0.23 4.58
 
0.29 0.23 0.55
 
0.23 0.22 0.34
 
0.26 0.25 0.10
 
0.23 0.40 0.65
 
0.30 0.41 0.14
 
0.34 0.40 0.08
 
0.35 0.43 0.08
 
0.37 0.29 0.07
 
0.42 0.37 0.07
 
0.44 0.11 0.07
 
0.43 0.15 0.06
 
0.42 0.16 0.07
 
0.43 0.15 0.20
 
0.44 0.36 0.15
 
0.45 0.40 0.49
 
0.46 0.38 0.41
 
0.47 0.39 0.42
 
0.46 0.31 0.34
 
0.47 0.33 0.34
 
0.47 0.33 0.35
 
0.47 0.30 0.31
 
0.46 0.16 0.34
 
0.46 0.25 0.31
 
0.45 0.17 0.43
 
0.45 0.06 0.38
 
0.49 0.06 0.22
 
0.43 0.05 0.28
 
0.46 0.05 0.27
 
0.19 0.11 0.23
 
0.16 0.03 0.21
 
0.16 0.03 0.22
 
0.17 0.06 0.29
 
0.17 0.12 0.27
 
0.18 0.08 0.29
 
0.19 0.10 0.28
 
0.22 0.09 0.28
 
0.43 0.05 0.28
 
0.42 0.05 0.29
 
0.39 0.05 0.32
 
0.38 0.05 0.22
 
0.38 0.05 0.27
 
0.37 0.05 0.24
 
0.37 0.04 0.25
 
0.37 0.04 0.24
 
0.38 0.05 0.21
 
0.40 0.04 0.25
 
0.37 0.04 0.24
 
0.41 0.04 0.26
 
0.30 0.04 0.25
 
0.19 0.04 0.26
 
0.46 0.04 0.26
 
0.37 0.04 0.24
 
0.28 0.04 0.26
 
0.15 0.05 0.29
 
0.15 0.04 0.24
 
0.16 0.04 0.29
 
0.16 0.04 0.29
 
0.16 0.04 0.29
 
0.16 0.04 0.28
 
0.16 0.04 0.28
 
0.16 0.04 0.26
 
0.16 0.04 0.22
 
0.15 0.04 0.28
 
0.15 0.04 0.28
 
0.16 0.04 0.28
 
0.16 0.04 0.27
 
0.15 0.05 0.28
 
0.16 0.04 0.27
 
0.15 0.04 0.27
 
0.16 0.04 0.28
 
0.15 0.04 0.28
 
0.16 0.04 0.28
 
0.16 0.04 0.27
 
0.16 0.04 0.27
 
0.15 0.04 0.24
 
0.16 0.04 0.25
 
0.16 0.04 0.27
 
0.16 0.04 0.26
 
0.17 0.04 0.26
 
0.16 0.04 0.25
 
0.16 0.04 0.25
 
0.16 0.04 0.27
 
0.17 0.04 0.21
 
0.16 0.04 0.26
 
0.16 0.05 0.27
 
0.16 0.04 0.27
 
0.17 0.04 0.27
 
0.17 0.04 0.28
 
0.18 0.04 0.27
 
0.18 0.05 0.29
 
0.18 0.04 0.28
 
0.18 0.04 0.26
 
0.16 0.05 0.29
 
0.18 0.04 0.28
 
0.17 0.04 0.28
 
0.18 0.05 0.27
 
0.17 0.04 0.26
 
0.18 0.04 0.25
 
0.17 0.04 0.25
 
0.18 0.05 0.26
 
0.18 0.05 0.25
 
0.18 0.05 0.26
 
0.18 0.06 0.26
 
0.16 0.03 0.24
 
0.10 0.04 0.20
 
0.07 0.01 0.12
 
0.13 0.04 0.09
 
