=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.30 16:06:23 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.13 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.13 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.13 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.32 0.08
 
0.12 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.13 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.33 0.08
 
0.12 0.32 0.08
 
0.12 0.33 0.08
 
0.13 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
0.12 0.32 0.08
 
